pid,trial,task,numberClicks,clicks,score,FSQ,CA,status,dropoutIndex,condition,conditionType,age,gender,naive,feedback,totalTime,firstBlock,exclusion,RT_attemptsQuiz,MG_attemptsQuiz
24,0,mortgage,3,"[0, 3, 6]",0,0.0,0.0,3,5,0,control,22,female,False,,8.0,mortgage,True,1,1
24,1,mortgage,3,"[0, 3, 6]",0,0.0,0.0,3,5,0,control,22,female,False,,8.0,mortgage,True,1,1
24,2,mortgage,3,"[3, 0, 6]",0,0.0,0.0,3,5,0,control,22,female,False,,8.0,mortgage,True,1,1
24,3,mortgage,3,"[0, 3, 6]",0,0.0,0.0,3,5,0,control,22,female,False,,8.0,mortgage,True,1,1
24,4,mortgage,3,"[0, 6, 3]",0,0.0,0.0,3,5,0,control,22,female,False,,8.0,mortgage,True,1,1
24,5,mortgage,3,"[6, 3, 0]",0,0.0,0.0,3,5,0,control,22,female,False,,8.0,mortgage,True,1,1
24,6,mortgage,3,"[0, 3, 6]",0,0.0,0.0,3,5,0,control,22,female,False,,8.0,mortgage,True,1,1
24,7,mortgage,3,"[6, 3, 0]",0,0.0,0.0,3,5,0,control,22,female,False,,8.0,mortgage,True,1,1
25,0,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,32,female,False,,14.2,mortgage,True,1,1
25,1,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,32,female,False,,14.2,mortgage,True,1,1
